DOWLKNUM,ACCESS.avg.ann.gdd,GFDL.avg.ann.gdd,IPSL.avg.ann.gdd,MIROC5.avg.ann.gdd,MRI.avg.ann.gdd,UTMX,UTMY,LON,LAT
27002200,2531.7166004521,2344.5923491885173,2525.4829691416985,2667.8367563264505,2353.3443083018465,478733.0637,4971920.242,-93.26936627,44.90038879
27002900,2726.2056321032437,2525.1116005326735,2718.886089246206,2865.7944770925815,2534.797534447298,472554.9237,4968393.863,-93.34742598,44.86843315
27003100,2453.970672158725,2270.178710378387,2452.102408313235,2586.121844580541,2270.923258833851,475395.1173,4976539.934,-93.3118689,44.94186734
27003501,2567.9998622928365,2377.8748237741543,2567.0371571355436,2702.835600604926,2379.7060241642753,473325.2551,4982263.415,-93.33840694,44.99331443
27003502,2475.4901046367536,2288.553525964948,2472.693187351918,2606.640314930045,2291.2755395887634,473511.8638,4982112.826,-93.33603166,44.99196585
27003700,2491.9551086547285,2304.209762664707,2488.351911701871,2622.972191337114,2303.627589472322,474491.7917,4980985.527,-93.32354329,44.98185403
27003900,2511.379234142176,2324.732451566804,2508.536086739877,2645.1635832678344,2324.7554790799095,474634.7607,4978543.587,-93.32160704,44.95987722
27004700,2465.2757311674027,2281.614668271878,2464.1507173598316,2598.1581288895695,2281.017531642236,469736.6942,4964913.818,-93.38289342,44.83699183
27004800,2497.542365655901,2321.070898542241,2493.5345011192153,2632.8715407753357,2326.063854816649,470886.7537,4963220.205,-93.36824601,44.82179376
27006100,2520.808942958046,2342.59641370903,2525.8295952913672,2659.3715774391035,2341.6207695436183,469048.0028,5003325.429,-93.3939699,45.18273207
27006900,2514.9677494148436,2334.132469341112,2515.493657625948,2650.5322605453794,2339.5213336397333,461179.8475,4969570.841,-93.49150821,44.87849924
27007000,2538.2979846365806,2354.492709747521,2537.972211844623,2674.1276943207627,2355.110026841566,460770.4842,4967261.896,-93.49651231,44.85769217
27007100,2536.210666327063,2348.717502972487,2533.7522611593654,2670.329538047015,2351.0401964359617,461076.5578,4968472.695,-93.49273157,44.86860832
27007600,2562.9298156505965,2376.5912002789564,2560.955459754593,2699.5172698624833,2378.6527767893735,462432.439,4966108.018,-93.47539289,44.84739464
27007800,2627.9121794211705,2440.4589366384603,2626.0190272178825,2768.612743826939,2443.5136936265226,464051.5632,4964993.522,-93.45482565,44.83744551
27009800,2544.5153773586567,2356.9731761143994,2540.6523838867224,2677.9050396211446,2359.2755835292674,465885.2662,4989149.605,-93.43325864,45.0549827
27010200,2526.8307670265117,2340.2001319752308,2523.590141695784,2659.6279939240626,2341.0691428392925,465898.2701,4987509.229,-93.43298209,45.04021733
27010400,2504.2936928846957,2320.8661588884356,2503.195077228296,2639.653434166681,2321.6693133366566,466900.027,4983747.102,-93.42001565,45.0063995
27011101,2464.52268411978,2285.276381224765,2463.7594510607582,2597.669900951019,2277.1715441342517,467476.214,4991303.386,-93.41319372,45.07444502
27011102,2503.997656948963,2320.3663509696544,2501.5046445850953,2633.778358228461,2313.580552861331,466995.1951,4990376.854,-93.41924361,45.0660825
27011700,2384.1339668723813,2204.835374822943,2383.091756844671,2508.726295542825,2196.4833537419,460555.5178,4995288.768,-93.50142744,45.10996725
27011800,2486.7322309305546,2304.587945706827,2482.782464085759,2619.1992871466714,2296.8178897353523,463526.1034,4993273.079,-93.46351912,45.09198263
27011900,2630.857423000189,2447.6800852471215,2632.119531177225,2772.6844048267135,2457.2538654618184,465291.521,4992369.64,-93.44102186,45.08393915
27013301,2433.2529674014527,2249.44164173101,2432.6061845215795,2561.359172559421,2250.367759616601,461073.933,4977962.432,-93.49349529,44.95403226
27013303,2433.2529674014527,2249.44164173101,2432.6061845215795,2561.359172559421,2250.367759616601,458150.0187,4974879.752,-93.53030694,44.92611691
27013304,2433.2529674014527,2249.44164173101,2432.6061845215795,2561.359172559421,2250.367759616601,456389.7931,4972800.373,-93.55243145,44.90729334
27013600,2697.722726197439,2507.545718655708,2692.9349053431115,2840.842817174741,2508.1455647078915,457807.3325,4971438.802,-93.53436204,44.89512235
27014100,2586.0552109073988,2398.4663772683343,2581.196861451087,2724.0687475876884,2402.811538591568,455672.4016,4978808.145,-93.56204583,44.96132857
27015700,2601.2675345546654,2413.227183193559,2600.3909287790093,2740.166574571221,2417.9447045385714,454890.1517,4983713.633,-93.57240302,45.0054361
