DOWLKNUM,UTMX,UTMY,LON,LAT,mean.gdd_wtr_10c,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
73023700,358075.5021,5036781.418,-94.81563647,45.47013032,1715.290348,1864.807366,1885.012033,1848.238544,1866.79276,1731.937551
73024100,358911.5067,5054941.152,-94.81018573,45.63367505,1746.057756,1847.499107,1863.33746,1838.917026,1853.97329,1724.562349
73025500,352524.5737,5068186.059,-94.89611036,45.75149744,1586.087479,1674.830453,1688.588441,1655.859565,1675.815975,1559.694956
74000100,495161.3889,4881325.707,-93.06043774,44.08509235,1829.996313,1952.280623,1987.981398,1936.646455,1961.473661,1826.639535
74002300,471951.8764,4859878.704,-93.34920419,43.8914761,1879.029115,1944.099787,1977.909971,1936.652949,1953.188484,1824.472537
76003300,321388.7163,5021417.658,-95.27906889,45.32352518,1739.825958,1885.476894,1893.427911,1865.89345,1888.303494,1743.6388
76005700,311548.879,5019145.604,-95.40365205,45.300518,1777.818285,1840.398379,1855.144867,1819.313388,1841.915829,1711.967626
76008600,298915.6092,5029546.378,-95.56885873,45.39054191,1871.567733,1943.238412,1954.471627,1931.773037,1944.498187,1821.809126
76016900,258159.5169,5032939.511,-96.09048564,45.40815196,1845.715777,1862.248426,1862.638528,1847.874907,1860.853643,1737.58271
77000700,369664.2247,5077002.678,-94.67822504,45.83426304,1631.361617,1700.741036,1714.299095,1701.123569,1709.011243,1592.860709
77000900,363651.1458,5076821.345,-94.7555632,45.83146852,1677.148406,1775.908821,1790.077324,1768.256226,1779.527446,1658.86497
77001900,370335.5102,5070130.664,-94.66773886,45.77256328,1710.333242,1800.300204,1814.75683,1800.917976,1812.532925,1690.766264
77002300,364105.101,5082770.501,-94.75140105,45.88507892,1591.096115,1725.483694,1736.930465,1723.390084,1728.559157,1612.183924
77004600,364295.4341,5104601.914,-94.75514644,46.08151529,1615.38426,1763.86868,1772.529099,1768.963869,1776.475439,1653.533194
77006100,365446.4368,5111077.219,-94.74210171,46.13999476,1564.696753,1663.153438,1671.692242,1657.237534,1666.474883,1550.792025
77021500,335804.7553,5085466.099,-95.11682474,45.90315385,1599.332983,1708.281839,1717.510793,1705.335798,1709.436864,1596.424213
80003000,344445.0274,5184769.275,-95.03845584,46.7983129,1486.695985,1524.137343,1531.044796,1535.081456,1527.985616,1426.144739
