DOWLKNUM,UTMX,UTMY,LON,LAT,EWMSTATUS,EWMSTATUS_corrRelFrq,max_depth,size_acres,avg_ph,avg_secchi,avg_conductance,avg_phosphorus,avg_chlorophylla,a440.cdom,allstreams_density_mperha,roaddensity_density_mperha,mean.gdd_wtr_10c,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
11020000,403512.1215,5196249.297,-94.26709613,46.91276479,U,0,13.4112,524.577899,7.881960784,4.921193129,156.3981132,0.013545455,4.251666667,0.50905165,1.0362,32.8764,1534.460162,1581.581695,1595.759409,1608.69645,1600.311276,1498.805099
11021800,396864.3148,5153469.615,-94.3447741,46.52688914,0,0,16.1544,421.8331236,7.728333333,2.835809855,246.8333333,0.062833333,12.1,3.24955925,4.3943,42.549,1604.081339,1720.407405,1736.304856,1740.592378,1739.908838,1630.736563
11023400,397861.0263,5191770.613,-94.34028277,46.87162716,U,0,18.288,388.0466492,8.012553191,6.1159356,146.3913043,0.009,1.58375,0.1229732,0.2501,58.8905,1523.656433,1610.851944,1623.252026,1633.211152,1627.808943,1527.055036
11023700,393886.1324,5191728.222,-94.3924166,46.8706233,U,0,31.6992,129.0241773,7.790697674,3.961708696,269.8928571,0.018333333,1.833333333,0.26342805,0.479,37.7577,1570.668954,1662.654295,1675.436644,1683.790262,1683.626683,1584.610619
11025000,397137.7355,5187141.989,-94.34872822,46.82987423,U,0,18.288,963.3163448,7.81345679,4.09606313,185.66,0.0113125,3.808,0.4705755,3.5256,59.0637,1528.044719,1624.930337,1638.785871,1649.081049,1643.48204,1541.536551
11027900,398004.8505,5195071.385,-94.33913495,46.90134458,U,0,16.2,149.1735079,7.882916667,6.421641015,76.82653061,0.0072,1.571428571,0.50255565,0.8723,51.701,1482.929443,1506.321487,1521.566556,1531.372065,1521.01677,1425.30796
11030700,393236.2656,5177062.135,-94.3975198,46.7385775,U,0,3.9624,514.8903014,8.331333333,2.367595902,231.5333333,0.0366,9.78875,2.676222,4.7194,42.6692,1494.785034,1560.530491,1568.217864,1576.803855,1567.042687,1469.741715
11038300,387835.5015,5196781.504,-94.47303078,46.91508928,U,0,21.336,1099.175659,7.933972603,4.902465546,207.8953846,0.013615385,3.908823529,0.25469075,4.8692,42.711,1470.814319,1516.872655,1531.309571,1542.750132,1534.183346,1432.544487
11041100,383053.083,5186711.059,-94.53323215,46.82367299,U,0,23.4696,1617.316358,7.908527132,2.966050256,280.9948148,0.022166667,10.212,0.9288943,3.4325,55.6735,1537.114792,1631.220889,1651.961164,1660.35971,1650.787325,1545.049342
11041200,382393.5287,5199484.23,-94.54517214,46.93846024,U,0,13.716,1267.197917,8.215428571,4.136665089,208.0078947,0.022210526,3.441176471,0.45006415,2.0926,63.1687,1446.567519,1503.410858,1513.907698,1526.405669,1516.838183,1412.008932
11048800,382854.0317,5238706.799,-94.54933313,47.29136088,U,0,16.764,554.5226649,8.705,3.755272727,262.0666667,0.011,2.5,0.0809841,7.6713,17.3265,1441.793331,1489.673483,1498.804191,1512.647241,1502.939316,1395.310941
13002700,513928.7285,5025024.402,-92.82209831,45.37859594,1,1,32.004,909.6981972,7.374078431,1.617435219,208.9229323,0.100771429,27.25769231,3.372053575,1.0274,65.8926,1802.740634,1825.659293,1865.732325,1833.666912,1845.064628,1724.322593
13002800,511252.3632,5025541.195,-92.8562697,45.38329588,1,1,10.0584,454.6792511,8.022758621,2.58152,198.6071429,0.037714286,27.2755,0.12519675,0.2895,94.29,1872.764403,1857.191226,1896.977444,1868.360851,1879.586837,1760.314005
13003201,513332.6664,5028194.395,-92.82962563,45.4071415,U,1,12.192,749.2601929,7.907169811,1.28209097,203.1672727,0.058310345,46.09032258,0.718612,1.5745,74.5191,1825.165453,1855.03152,1898.324399,1863.441445,1874.464564,1750.172169
13003300,516167.516,5028935.007,-92.7933758,45.41374813,U,0,6.7056,168.1990766,7.216923077,1.111678498,127.6666667,0.129076923,2230.836364,4.5060825,7.6971,22.1667,1921.314581,1949.597891,1994.161201,1960.190674,1975.626906,1850.895061
13005300,504118.6705,5018585.514,-92.94744871,45.32076356,1,1,14.0208,217.8226056,7.929583333,1.676807066,453.1611111,0.049132075,15.11542609,3.2711243,6.5642,47.079,1879.214588,1859.994256,1901.315413,1870.03583,1884.790025,1761.065969
13006800,497323.9996,5047449.589,-93.03430098,45.58058221,1,1,14.6304,318.8215402,8.04,3.227443721,258.5055556,0.058416667,7.72125,2.9310976,1.6096,54.7363,1724.65319,1754.518479,1783.565842,1764.476757,1772.097116,1659.049213
13007300,495823.6018,5048703.764,-93.05354381,45.59186364,U,0,15.8496,224.0379654,7.134285714,1.939596066,321.4285714,0.112384615,18.96666667,3.62454795,3.887,40.3455,1773.07962,1811.865668,1845.844012,1830.464302,1835.80371,1724.115013
14000400,257177.065,5211347.049,-96.19473726,47.0110548,0,0,3.6576,248.4787936,9.432222222,3.137236364,407.25,0.026,1.71,0.80474025,2.3436,5.3236,1682.882735,1612.382342,1603.458998,1620.417195,1620.009925,1498.317049
15001000,331962.3582,5228594.724,-95.2181686,47.18936522,U,0,29.5656,303.433636,7.7627,3.689214213,304.3548387,0.076380952,3.8025,0.19801315,11.7379,9.2565,1409.226717,1454.791711,1459.256168,1478.350198,1469.164225,1347.609453
15005900,326860.2825,5251562.828,-95.29438262,47.39455059,U,0,3.9,1526.721168,8.265,2.004583333,243,0.0214,9.25,2.49837755,1.3251,17.0427,1404.697837,1457.850215,1455.636533,1475.271665,1469.179054,1349.899452
